100000,2018-01-01,CHILD,MALE
100001,2018-01-02,CHILD,MALE
100002,2018-01-03,CHILD,MALE
100003,2018-01-04,CHILD,MALE
100004,2018-01-05,CHILD,MALE
100005,2018-01-06,CHILD,MALE
100006,2018-01-07,CHILD,MALE
100007,2018-01-08,CHILD,MALE
100008,2018-01-09,CHILD,MALE
100009,2018-01-10,CHILD,MALE
100010,2018-01-11,CHILD,MALE
100011,2018-01-12,CHILD,MALE
100012,2018-01-13,CHILD,MALE
100013,2018-01-14,CHILD,MALE
100014,2018-01-15,CHILD,MALE
100015,2018-01-16,CHILD,MALE
100016,2018-01-17,CHILD,MALE
100017,2018-01-18,CHILD,MALE
100018,2018-01-19,CHILD,MALE
100019,2018-01-20,CHILD,MALE
100020,2018-01-21,CHILD,MALE
100021,2018-01-22,CHILD,MALE
100022,2018-01-23,CHILD,MALE
100023,2018-01-24,CHILD,MALE
100024,2018-01-25,CHILD,MALE
100025,2018-01-26,CHILD,MALE
100026,2018-01-27,CHILD,MALE
100027,2018-01-28,CHILD,MALE
100028,2018-01-29,CHILD,MALE
100029,2018-01-30,CHILD,MALE
100030,2018-01-31,CHILD,MALE
100031,2018-02-01,CHILD,MALE
100032,2018-02-02,CHILD,MALE
100033,2018-02-03,CHILD,MALE
100034,2018-02-04,CHILD,MALE
100035,2018-02-05,CHILD,MALE
100036,2018-02-06,CHILD,MALE
100037,2018-02-07,CHILD,MALE
100038,2018-02-08,CHILD,MALE
100039,2018-02-09,CHILD,MALE
100040,2018-02-10,CHILD,MALE
100041,2018-02-11,CHILD,MALE
100042,2018-02-12,CHILD,MALE
100043,2018-02-13,CHILD,MALE
100044,2018-02-14,CHILD,MALE
100045,2018-02-15,CHILD,MALE
100046,2018-02-16,CHILD,MALE
100047,2018-02-17,CHILD,MALE
100048,2018-02-18,CHILD,MALE
100049,2018-02-19,CHILD,MALE
100050,2018-02-20,CHILD,MALE
100051,2018-02-21,CHILD,MALE
100052,2018-02-22,CHILD,MALE
100053,2018-02-23,CHILD,MALE
100054,2018-02-24,CHILD,MALE
100055,2018-02-25,CHILD,MALE
100056,2018-02-26,CHILD,MALE
100057,2018-02-27,CHILD,MALE
100058,2018-02-28,CHILD,MALE
100059,2018-03-01,CHILD,MALE
100060,2018-03-02,CHILD,MALE
100061,2018-03-03,CHILD,MALE
100062,2018-03-04,CHILD,MALE
100063,2018-03-05,CHILD,MALE
100064,2018-03-06,CHILD,MALE
100065,2018-03-07,CHILD,MALE
100066,2018-03-08,CHILD,MALE
100067,2018-03-09,CHILD,MALE
100068,2018-03-10,CHILD,MALE
100069,2018-03-11,CHILD,MALE
100070,2018-03-12,CHILD,MALE
100071,2018-03-13,CHILD,MALE
100072,2018-03-14,CHILD,MALE
100073,2018-03-15,CHILD,MALE
100074,2018-03-16,CHILD,MALE
100075,2018-03-17,CHILD,MALE
100076,2018-03-18,CHILD,MALE
100077,2018-03-19,CHILD,MALE
100078,2018-03-20,CHILD,MALE
100079,2018-03-21,CHILD,MALE
100080,2018-03-22,CHILD,MALE
100081,2018-03-23,CHILD,MALE
100082,2018-03-24,CHILD,MALE
100083,2018-03-25,CHILD,MALE
100084,2018-03-26,CHILD,MALE
100085,2018-03-27,CHILD,MALE
100086,2018-03-28,CHILD,MALE
100087,2018-03-29,CHILD,MALE
